session_id,user_id,age,platform,topic,persona,video_pause_density,video_rewind_density,video_rewind_distance_mean_s,video_same_segment_replay_count,video_forward_skip_density,video_forward_skip_distance_mean_s,video_slowdown_ratio,video_speedup_ratio,video_speed_change_count,video_completion_ratio,video_effective_watch_ratio,video_segment_coverage,video_pause_duration_mean_s,scroll_velocity_mean_px_s,scroll_velocity_std_px_s,scroll_reversal_rate,scroll_reversal_depth_mean_px,scroll_revisit_rate,scroll_concept_loop_count,scroll_reading_coverage,scroll_dwell_time_mean_s,scroll_dwell_time_variance_s,scroll_linear_reading_ratio,scroll_section_skip_count,scroll_reading_speed_wpm_estimate,typing_iki_mean_ms,typing_iki_std_ms,typing_iki_cv,typing_speed_cpm,typing_dwell_time_mean_ms,typing_dwell_time_std_ms,typing_flight_time_mean_ms,typing_flight_time_std_ms,typing_backspace_rate,typing_correction_burst_rate,typing_correction_burst_length_mean,typing_pause_before_typing_ms,typing_rhythm_entropy,typing_long_pause_rate,typing_acceleration,typing_error_correction_ratio,focus_loss_count,focus_loss_total_duration_s,focus_loss_ratio,focus_mean_loss_duration_s,focus_max_loss_duration_s,focus_rapid_tab_switch_rate,focus_return_latency_mean_s,focus_return_latency_std_s,focus_idle_ratio,focus_idle_bout_count,focus_active_engagement_ratio,focus_context_flag,quiz_score,quiz_first_attempt_accuracy,quiz_time_to_answer_mean_s,quiz_time_to_answer_std_s,quiz_time_to_answer_cv,quiz_hint_request_rate,quiz_max_hint_level_used,quiz_hint_dependency_ratio,quiz_answer_change_rate,quiz_confidence_mean,quiz_confidence_accuracy_correlation,quiz_confidence_mismatch,quiz_overconfidence_flag,quiz_underconfidence_flag,quiz_time_to_first_action_s,quiz_abandonment_rate,external_reference_count,external_llm_reference_count,external_search_reference_count,external_reference_site_count,external_time_ratio,external_llm_time_ratio,external_mean_duration_s,external_before_answer_rate,external_help_seeking_index,external_borrowed_knowledge_flag,personal_drift_zscore,confidence_gap,multi_modal_confusion_score,productive_struggle_score,unproductive_struggle_score,engagement_deviation,behavioral_instability_index,concept_loop_score,retention_risk_proxy,fatigue_proxy,comprehension_confidence,fatigue_label
session_00001,student_0001,22,GeeksForGeeks,Computer Networks,Focused Learner,0.76933,0.771815,20.942101,1.0,0.355879,6.371124,0.173084,0.078968,2.0,0.9011,1.026786,0.933172,12.680358,255.231934,224.304277,1.679946,147.543929,0.230724,0.0,0.755928,12.988222,109.01161,0.859364,1.0,89.630088,258.903765,112.584602,0.434851,260.968184,78.685448,25.069987,70.331745,54.151573,0.135602,0.928406,2.978927,1420.780314,0.828863,0.147422,-0.141569,0.156573,0.0,6.272502,0.071253,3.743518,19.597701,0.0,2.12113,7.432936,0.147627,1.0,0.861435,1.0,0.94725,0.964339,30.60535,8.439957,0.275767,0.0,0.0,0.076232,0.555624,0.835495,0.392652,-0.111755,0.0,0.0,7.240669,0.042176,0.0,1.0,1.0,2.0,0.030998,0.0,2.382024,0.0,0.066659,0.0,1.043599,-0.111755,0.193738,0.174228,0.0,0.817636,0.117803,0.188019,0.098617,0.11676,0.8755,0
session_00002,student_0002,18,Coursera,Algorithms,Productive Struggler,1.202513,1.232934,30.239814,3.0,0.685309,3.263255,0.382882,0.176721,4.0,0.865606,0.90275,0.830496,30.372334,233.06015,303.116075,2.360606,296.521848,0.506323,2.0,0.826346,25.20618,254.471464,0.628229,0.0,111.054532,416.939532,256.695494,0.615666,171.655787,152.742724,77.639979,121.467368,128.654534,0.182733,1.696859,3.980664,2487.573707,0.948922,0.436384,-3.164972,0.33864,3.0,17.977267,0.213464,13.75513,19.59337,1.456938,0.712514,5.809751,0.185597,0.0,0.685931,1.0,0.65695,0.4063,41.131153,20.116971,0.489093,0.907632,1.0,0.52507,0.924085,0.676705,0.589325,0.019755,0.0,0.0,11.545812,0.027779,1.0,2.0,0.0,2.0,0.125602,0.07862,41.320345,0.298243,0.293591,0.0,2.530523,0.019755,0.445476,0.0,0.009844,0.770577,0.193908,0.72433,0.386738,0.225905,0.6,0
session_00003,student_0003,20,Coursera,Machine Learning,Cognitively Fatigued Learner,1.562366,1.931034,36.795173,4.0,1.077267,0.0,0.494032,0.129997,4.0,0.385415,0.797679,0.340107,53.667854,277.841876,592.024712,4.14381,729.800456,0.671425,4.0,0.37041,37.144947,776.736991,0.614054,5.0,40.0,824.835358,520.59497,0.63115,166.615979,223.052728,107.963501,290.437462,207.248589,0.356584,1.971737,7.47634,4272.388943,2.225589,0.629972,-61.051528,0.56146,1.0,26.139374,0.35778,18.342399,23.494712,1.934388,17.261655,18.327943,0.575252,2.0,0.491181,1.0,0.296736,0.115618,59.14519,28.074549,0.474672,0.923653,1.0,0.322681,1.861092,0.559366,0.328734,0.26263,0.0,0.0,23.37275,0.211232,3.0,2.0,0.0,0.0,0.194483,0.0955,31.226131,0.320165,0.224763,0.0,4.056661,0.26263,0.649571,0.0,0.175212,-1.056123,0.354166,0.890475,0.603139,0.426779,0.3297,1
session_00004,student_0004,20,LeetCode,DBMS,Distracted Learner,1.25572,1.652295,31.056034,4.0,1.964241,25.818399,0.188239,0.134433,5.0,0.663862,0.87587,0.563742,23.073565,538.544644,705.327715,4.228745,571.591876,0.551433,4.0,0.51086,30.910273,351.040881,0.44557,4.0,228.256368,470.715981,313.822324,0.666691,120.42153,128.482281,44.379178,105.263886,86.300699,0.242107,1.645896,5.966972,2760.205927,1.071494,0.22901,-1.112278,0.359726,7.0,37.01552,0.612847,28.983664,42.423928,6.044179,22.517429,32.475694,0.21639,2.0,0.275506,1.0,0.401892,0.242574,36.400036,24.295867,0.667468,1.541519,1.0,0.524181,1.445467,0.572497,0.446384,0.170606,0.0,0.0,14.547481,0.354532,4.0,0.0,0.0,2.0,0.257041,0.142419,63.361303,0.182189,0.507152,0.0,2.98202,0.170606,0.54602,0.0,0.107215,-0.852536,0.306222,0.850478,0.535242,0.367161,0.3799,0
session_00005,student_0005,24,Coursera,Computer Networks,Cramming Learner,1.64556,2.809314,47.516756,5.0,0.252636,27.023572,0.352047,0.033939,8.0,0.817849,1.285304,0.838408,36.391102,312.566103,600.106193,4.052363,827.581797,0.657617,6.0,0.725826,28.149951,418.252955,0.48555,2.0,156.347416,314.624641,308.869369,0.981707,241.680255,92.571956,25.467545,38.263417,90.037009,0.280834,2.15978,6.966458,3761.468438,1.057936,0.28544,42.68154,0.504362,3.0,18.559315,0.254814,8.364804,20.776469,1.43942,11.156795,1.628624,0.175951,0.0,0.633912,1.0,0.849267,0.60755,47.677451,21.163375,0.443886,0.930672,1.0,0.191048,1.670422,0.647381,0.581545,-0.201885,0.0,0.0,14.554326,0.067177,0.0,1.0,1.0,1.0,0.156732,0.006309,26.410683,0.181539,0.100207,0.0,3.248592,-0.201885,0.608532,0.355741,0.0,-0.441227,0.274264,0.885872,0.307831,0.215624,0.755,0
session_00006,student_0006,18,LeetCode,Machine Learning,Focused Learner,0.855523,0.813912,15.051713,1.0,0.354325,11.606589,0.261205,0.132221,4.0,0.874036,1.007105,0.886754,12.331769,292.615851,158.011714,2.409155,298.933578,0.405216,1.0,0.789936,13.191539,95.05846,0.760429,0.0,117.587309,336.801781,218.425722,0.648529,223.634381,80.732969,27.913394,107.363382,40.645291,0.096355,0.548503,2.004522,1521.42394,0.79618,0.167937,10.651551,0.293833,0.0,4.515272,0.0,3.403958,6.77037,0.424214,2.532364,10.121701,0.116301,0.0,0.971182,1.0,0.898785,0.822424,27.505015,13.623473,0.495309,0.611113,0.0,0.069783,0.613301,0.892933,0.470143,-0.005852,0.0,0.0,8.895095,0.016731,2.0,0.0,0.0,0.0,0.098979,0.012798,17.3484,0.0,0.076524,0.0,1.231139,-0.005852,0.247737,0.183877,0.0,1.366453,0.158351,0.357294,0.141568,0.097366,0.8585,0
session_00007,student_0007,22,GeeksForGeeks,Mathematics,Productive Struggler,0.895346,0.997415,22.878134,3.0,0.731546,4.638364,0.310151,0.110917,4.0,0.740671,0.815949,0.722313,21.603206,305.427247,287.259419,3.400371,486.533976,0.347159,2.0,0.719988,29.824001,249.89988,0.692937,1.0,129.918625,349.77082,234.898439,0.671578,239.157356,120.319398,41.531607,146.352537,52.086296,0.129895,1.303216,3.576169,1544.997386,1.127106,0.283504,-60.437786,0.265358,2.0,18.262142,0.371137,9.925952,32.8198,1.153194,12.00679,9.291371,0.122254,1.0,0.607602,1.0,0.549787,0.402967,28.67426,9.553892,0.333187,0.882838,0.0,0.353439,1.135669,0.63628,0.633985,0.086493,0.0,0.0,10.917598,0.103696,2.0,1.0,0.0,1.0,0.059865,0.057411,36.687962,0.130439,0.26863,0.0,2.824254,0.086493,0.424943,0.0,0.044255,-0.744154,0.186426,0.671275,0.401356,0.236461,0.6,0
session_00008,student_0008,23,YouTube,Operating Systems,Cognitively Fatigued Learner,1.402689,1.269455,31.910609,3.0,0.623615,1.690211,0.251687,0.086235,5.0,0.51616,0.782201,0.437822,36.467337,284.235306,488.317499,2.984527,421.994147,0.517704,3.0,0.454337,31.2693,374.565271,0.599664,1.0,107.432343,527.667626,322.696798,0.611553,210.622812,166.265918,55.183634,195.089875,127.188659,0.261846,1.496509,4.974315,2678.236314,1.436888,0.238728,-31.306588,0.420564,4.0,16.403512,0.326891,9.153521,17.469931,0.0,6.79492,13.753931,0.220377,1.0,0.579287,1.0,0.304518,0.127244,43.134144,18.977904,0.439974,1.815333,2.0,0.561871,1.359685,0.53228,0.704844,0.227762,0.0,0.0,12.679358,0.123589,4.0,2.0,1.0,2.0,0.174853,0.174368,55.301623,0.601224,0.597539,0.0,3.324689,0.227762,0.522422,0.0,0.136715,-0.806872,0.243678,0.839235,0.57905,0.287616,0.3627,0
session_00009,student_0009,20,NPTEL,Algorithms,Distracted Learner,0.729319,1.27584,12.851187,1.0,2.074742,30.873766,0.214092,0.332589,4.0,0.416675,0.578286,0.316834,24.414935,478.717459,728.739769,2.47421,384.495542,0.224626,0.0,0.217571,23.980096,347.058807,0.56887,4.0,187.379596,326.659085,244.646694,0.748936,227.286624,134.803503,33.591203,125.627301,124.296855,0.127938,1.127007,3.904696,2055.61952,1.047299,0.366317,-31.741832,0.272708,11.0,48.985526,0.744702,25.836353,33.593747,3.648816,23.199486,28.74126,0.302018,2.0,0.235209,1.0,0.696922,0.57339,30.685118,15.02249,0.489569,1.50595,1.0,0.264583,1.141481,0.443898,0.26234,-0.253024,0.0,0.0,15.204588,0.25487,3.0,1.0,1.0,0.0,0.111197,0.023718,47.713179,0.413816,0.36106,0.0,2.253428,-0.253024,0.245163,0.0,0.0,-1.348377,0.288513,0.185986,0.379426,0.394462,0.5847,0
session_00010,student_0010,21,College LMS,Operating Systems,Cramming Learner,1.360946,2.088315,34.146424,5.0,0.255261,18.86086,0.314263,0.012956,5.0,0.842899,1.192682,0.874587,26.254308,231.356961,357.238926,4.293056,588.799819,0.545434,5.0,0.762493,25.779437,542.872951,0.72107,2.0,104.543434,360.228664,253.906299,0.704848,240.699864,150.095724,23.141108,118.593297,91.696252,0.256543,1.72528,6.246239,2213.859152,1.213996,0.359175,-50.377511,0.579022,1.0,19.330567,0.329272,15.108751,19.077856,0.941583,4.928256,11.853716,0.129828,1.0,0.571671,1.0,0.660906,0.502107,42.692366,24.080129,0.564038,0.995989,1.0,0.262366,0.894431,0.692694,0.781821,0.031788,0.0,0.0,13.972336,0.135115,0.0,0.0,0.0,1.0,0.060175,0.0,25.584575,0.28429,0.303237,0.0,3.317483,0.031788,0.541098,0.0,0.019794,-0.51615,0.273665,0.848478,0.35471,0.249115,0.65,0
